MID;Rho;YoungModulus;PoissonRatio;Cohesion;FrictionAngle;DilatancyAngle;TransitionAngle;TensionCutOffParameter
0;8750;1.17E+11;0.3;1.00E+10;0;0;0;0
1;8751;1.17E+12;0.3;1.00E+10;0;0;0;0
2;8752;1.17E+13;0.3;1.00E+10;0;0;0;0
3;2070;5.20E+09;0.27;1.00E+10;0;0;0;0
4;2700;5.00E+10;0.25;1.00E+10;0;0;0;0
5;2700;5.00E+10;0.25;1.00E+10;0;0;0;0
6;7800;2.10e11;0.3;1.00E+10;0;0;0;0
7;7800;2.10e11;0.3;1.00E+10;0;0;0;0
8;2173;2.65E+08;0.18;1.00E+10;0;0;0;0
9;1800;1.38e7;0.29;1.00E+10;0;0;0;0
10;1800;1.38e7;0.29;1.00E+10;0;0;0;0
11;1800;1.38e7;0.29;1.00E+10;0;0;0;0
12;1800;1.38e7;0.29;1.00E+10;0;0;0;0
13;1800;1.38e7;0.29;1.00E+10;0;0;0;0
14;1800;1.38e7;0.29;1.00E+10;0;0;0;0
15;1800;1.38e7;0.29;1.00E+10;0;0;0;0
